Year,Award,Winner,Name,Film
1958,Actor in a Supporting Role,0,Arthur Kennedy,Some Came Running
1951,Actor in a Leading Role,0,Arthur Kennedy,Bright Victory
1953,Actress in a Leading Role,1,Audrey Hepburn,Roman Holiday
1955,Actor in a Supporting Role,0,Arthur O'Connell,Picnic
1959,Actor in a Supporting Role,0,Arthur O'Connell,Anatomy of a Murder
1959,Actress in a Leading Role,0,Audrey Hepburn,The Nun's Story
1967,Actress in a Leading Role,0,Audrey Hepburn,Wait until Dark
1954,Actress in a Leading Role,0,Audrey Hepburn,Sabrina
1979,Actress in a Supporting Role,0,Barbara Barrie,Breaking Away
1971,Actress in a Supporting Role,0,Barbara Harris,Who Is Harry Kellerman and Why Is He Saying Those Terrible Things about Me?
1996,Actress in a Supporting Role,0,Barbara Hershey,The Portrait of a Lady
1941,Actress in a Leading Role,0,Barbara Stanwyck,Ball of Fire
1948,Actress in a Leading Role,0,Barbara Stanwyck,"Sorry, Wrong Number"
1938,Actor in a Supporting Role,0,Basil Rathbone,If I Were King
1944,Actor in a Supporting Role,1,Barry Fitzgerald,Going My Way
1968,Actress in a Leading Role,1,Barbra Streisand,Funny Girl
1973,Actress in a Leading Role,0,Barbra Streisand,The Way We Were
2013,Actor in a Supporting Role,0,Barkhad Abdi,Captain Phillips
1944,Actor in a Leading Role,0,Barry Fitzgerald,Going My Way
1967,Actress in a Supporting Role,0,Beah Richards,Guess Who's Coming to Dinner
1971,Actor in a Supporting Role,1,Ben Johnson,The Last Picture Show
1976,Actress in a Supporting Role,1,Beatrice Straight,Network
1982,Actor in a Leading Role,1,Ben Kingsley,Gandhi
2003,Actor in a Leading Role,0,Ben Kingsley,House of Sand and Fog
2003,Actor in a Supporting Role,0,Benicio Del Toro,21 Grams
2014,Actor in a Leading Role,0,Benedict Cumberbatch,The Imitation Game
1934,Actress in a Leading Role,0,Bette Davis,Of Human Bondage
1955,Actress in a Supporting Role,0,Betsy Blair,Marty
1962,Actress in a Leading Role,0,Bette Davis,What Ever Happened to Baby Jane?
1952,Actress in a Leading Role,0,Bette Davis,The Star
1979,Actress in a Leading Role,0,Bette Midler,The Rose
1991,Actress in a Leading Role,0,Bette Midler,For the Boys
1933,Actor in a Leading Role,1,Charles Laughton,The Private Life of Henry VIII
1936,Actress in a Leading Role,0,Carole Lombard,My Man Godfrey
1936,Actress in a Supporting Role,0,Beulah Bondi,The Gorgeous Hussy
1938,Actress in a Supporting Role,0,Beulah Bondi,Of Human Hearts
1938,Actress in a Supporting Role,0,Billie Burke,Merrily We Live
2003,Actor in a Leading Role,0,Bill Murray,Lost in Translation
1939,Actor in a Supporting Role,0,Brian Aherne,Juarez
1944,Actor in a Leading Role,1,Bing Crosby,Going My Way
1996,Actor in a Leading Role,0,Billy Bob Thornton,Sling Blade
1998,Actor in a Supporting Role,0,Billy Bob Thornton,A Simple Plan
1954,Actor in a Leading Role,0,Bing Crosby,The Country Girl
1963,Actor in a Supporting Role,0,Bobby Darin,"Captain Newman, M.D."
1986,Actor in a Leading Role,0,Bob Hoskins,Mona Lisa
1975,Actor in a Supporting Role,0,Brad Dourif,One Flew over the Cuckoo's Nest
1975,Actress in a Supporting Role,0,Brenda Vaccaro,Jacqueline Susann's Once Is Not Enough
1989,Actress in a Supporting Role,1,Brenda Fricker,My Left Foot
1995,Actor in a Supporting Role,0,Brad Pitt,12 Monkeys
2011,Actor in a Leading Role,0,Brad Pitt,Moneyball
2012,Actor in a Leading Role,0,Bradley Cooper,Silver Linings Playbook
2014,Actor in a Leading Role,0,Bradley Cooper,American Sniper
1939,Actor in a Supporting Role,0,Brian Donlevy,Beau Geste
1949,Actor in a Leading Role,1,Broderick Crawford,All the King's Men
2015,Actress in a Leading Role,1,Brie Larson,Room
1953,Actor in a Leading Role,0,Burt Lancaster,From Here to Eternity
1958,Actor in a Supporting Role,1,Burl Ives,The Big Country
1975,Actor in a Supporting Role,0,Burgess Meredith,The Day of the Locust
1978,Actor in a Supporting Role,0,Bruce Dern,Coming Home
1990,Actor in a Supporting Role,0,Bruce Davison,Longtime Companion
2013,Actor in a Leading Role,0,Bruce Dern,Nebraska
2015,Actor in a Leading Role,0,Bryan Cranston,Trumbo
1976,Actor in a Supporting Role,0,Burgess Meredith,Rocky
1960,Actor in a Leading Role,1,Burt Lancaster,Elmer Gantry
1981,Actor in a Leading Role,0,Burt Lancaster,Atlantic City
1958,Actress in a Supporting Role,0,Cara Williams,The Defiant Ones
1973,Actress in a Supporting Role,0,Candy Clark,American Graffiti
1976,Actor in a Supporting Role,0,Burt Young,Rocky
1997,Actor in a Supporting Role,0,Burt Reynolds,Boogie Nights
1979,Actress in a Supporting Role,0,Candice Bergen,Starting Over
2011,Actress in a Supporting Role,0,Bí©rí©nice Bejo,The Artist
1967,Actress in a Supporting Role,0,Carol Channing,Thoroughly Modern Millie
2009,Actress in a Leading Role,0,Carey Mulligan,An Education
1975,Actress in a Leading Role,0,Carol Kane,Hester Street
1937,Actor in a Leading Role,0,Charles Boyer,Conquest
1941,Actor in a Leading Role,0,Cary Grant,Penny Serenade
1956,Actress in a Leading Role,0,Carroll Baker,Baby Doll
1957,Actress in a Supporting Role,0,Carolyn Jones,The Bachelor Party
1970,Actress in a Leading Role,0,Carrie Snodgress,Diary of a Mad Housewife
1944,Actor in a Leading Role,0,Cary Grant,None but the Lonely Heart
1946,Actress in a Leading Role,0,Celia Johnson,Brief Encounter
1947,Actress in a Supporting Role,1,Celeste Holm,Gentleman's Agreement
1948,Actor in a Supporting Role,0,Cecil Kellaway,The Luck of the Irish
1969,Actress in a Supporting Role,0,Catherine Burns,Last Summer
1998,Actress in a Leading Role,0,Cate Blanchett,Elizabeth
2004,Actress in a Leading Role,0,Catalina Sandino Moreno,Maria Full of Grace
2007,Actor in a Supporting Role,0,Casey Affleck,The Assassination of Jesse James by the Coward Robert Ford
2016,Actor in a Leading Role,0,Casey Affleck,Manchester by the Sea
2006,Actress in a Supporting Role,0,Cate Blanchett,Notes on a Scandal
2015,Actress in a Leading Role,0,Cate Blanchett,Carol
2004,Actress in a Supporting Role,1,Cate Blanchett,The Aviator
1980,Actress in a Supporting Role,0,Cathy Moriarty,Raging Bull
1992,Actress in a Leading Role,0,Catherine Deneuve,Indochine
1999,Actress in a Supporting Role,0,Catherine Keener,Being John Malkovich
2005,Actress in a Supporting Role,0,Catherine Keener,Capote
1967,Actor in a Supporting Role,0,Cecil Kellaway,Guess Who's Coming to Dinner
1947,Actor in a Supporting Role,0,Charles Bickford,The Farmer's Daughter
1948,Actor in a Supporting Role,0,Charles Bickford,Johnny Belinda
1961,Actor in a Leading Role,0,Charles Boyer,Fanny
1938,Actor in a Leading Role,0,Charles Boyer,Algiers
1940,Actor in a Leading Role,0,Charles Chaplin,The Great Dictator
1941,Actor in a Supporting Role,0,Charles Coburn,The Devil and Miss Jones
1946,Actor in a Supporting Role,0,Charles Coburn,The Green Years
1957,Actor in a Leading Role,0,Charles Laughton,Witness for the Prosecution
1982,Actor in a Supporting Role,0,Charles Durning,The Best Little Whorehouse in Texas
1983,Actor in a Supporting Role,0,Charles Durning,To Be or Not to Be
1935,Actor in a Leading Role,0,Charles Laughton,Mutiny on the Bounty
1959,Actor in a Leading Role,1,Charlton Heston,Ben-Hur
2003,Actress in a Leading Role,1,Charlize Theron,Monster
2005,Actress in a Leading Role,0,Charlize Theron,North Country
2015,Actress in a Leading Role,0,Charlotte Rampling,45 Years
1983,Actress in a Supporting Role,0,Cher,Silkwood
1994,Actor in a Supporting Role,0,Chazz Palminteri,Bullets over Broadway
1987,Actress in a Leading Role,1,Cher,Moonstruck
1929,Actress in a Leading Role,0,Corinne Griffith,The Divine Lady
1934,Actor in a Leading Role,1,Clark Gable,It Happened One Night
1937,Actress in a Supporting Role,0,Claire Trevor,Dead End
1960,Actor in a Supporting Role,0,Chill Wills,The Alamo
1970,Actor in a Supporting Role,0,Chief Dan George,Little Big Man
1972,Actress in a Leading Role,0,Cicely Tyson,Sounder
1975,Actor in a Supporting Role,0,Chris Sarandon,Dog Day Afternoon
1999,Actress in a Supporting Role,0,Chloí‚ Sevigny,Boys Don't Cry
2013,Actor in a Leading Role,0,Chiwetel Ejiofor,12 Years a Slave
2002,Actor in a Supporting Role,1,Chris Cooper,Adaptation
1978,Actor in a Supporting Role,1,Christopher Walken,The Deer Hunter
1984,Actress in a Supporting Role,0,Christine Lahti,Swing Shift
2010,Actor in a Supporting Role,1,Christian Bale,The Fighter
2015,Actor in a Supporting Role,0,Christian Bale,The Big Short
2002,Actor in a Supporting Role,0,Christopher Walken,Catch Me If You Can
2009,Actor in a Supporting Role,1,Christoph Waltz,Inglourious Basterds
2012,Actor in a Supporting Role,1,Christoph Waltz,Django Unchained
1954,Actress in a Supporting Role,0,Claire Trevor,The High and the Mighty
1935,Actor in a Leading Role,0,Clark Gable,Mutiny on the Bounty
1935,Actress in a Leading Role,0,Claudette Colbert,Private Worlds
1939,Actor in a Supporting Role,0,Claude Rains,Mr. Smith Goes to Washington
1946,Actor in a Supporting Role,0,Claude Rains,Notorious
1944,Actor in a Supporting Role,0,Clifton Webb,Laura
1968,Actor in a Leading Role,1,Cliff Robertson,Charly
1948,Actor in a Leading Role,0,Clifton Webb,Sitting Pretty
1952,Actress in a Supporting Role,0,Colette Marchand,Moulin Rouge
1971,Actress in a Supporting Role,1,Cloris Leachman,The Last Picture Show
1992,Actor in a Leading Role,0,Clint Eastwood,Unforgiven
2004,Actor in a Leading Role,0,Clint Eastwood,Million Dollar Baby
2004,Actor in a Supporting Role,0,Clive Owen,Closer
2009,Actor in a Leading Role,0,Colin Firth,A Single Man
2010,Actor in a Leading Role,1,Colin Firth,The King's Speech
1933,Actress in a Leading Role,0,Diana Wynyard,Cavalcade
1937,Actress in a Supporting Role,0,Dame May Whitty,Night Must Fall
1945,Actor in a Leading Role,0,Cornel Wilde,A Song to Remember
1963,Actress in a Supporting Role,0,Dame Edith Evans,Tom Jones
1967,Actress in a Leading Role,0,Dame Edith Evans,The Whisperers
1942,Actress in a Supporting Role,0,Dame May Whitty,Mrs. Miniver
1948,Actor in a Leading Role,0,Dan Dailey,When My Baby Smiles at Me
1989,Actor in a Supporting Role,0,Dan Aykroyd,Driving Miss Daisy
1949,Actor in a Supporting Role,1,Dean Jagger,Twelve O'Clock High
1954,Actor in a Leading Role,0,Dan O'Herlihy,Adventures of Robinson Crusoe
1958,Actor in a Leading Role,1,David Niven,Separate Tables
1968,Actor in a Supporting Role,0,Daniel Massey,Star!
1989,Actor in a Leading Role,1,Daniel Day Lewis,My Left Foot
1993,Actor in a Leading Role,0,Daniel Day-Lewis,In the Name of the Father
2012,Actor in a Leading Role,1,Daniel Day-Lewis,Lincoln
1989,Actor in a Supporting Role,0,Danny Aiello,Do the Right Thing
1992,Actor in a Supporting Role,0,David Paymer,Mr. Saturday Night
2005,Actor in a Leading Role,0,David Strathairn,"Good Night, and Good Luck."
1949,Actress in a Leading Role,0,Deborah Kerr,"Edward, My Son"
1964,Actress in a Leading Role,0,Debbie Reynolds,The Unsinkable Molly Brown
1988,Actor in a Supporting Role,0,Dean Stockwell,Married to the Mob
1960,Actress in a Leading Role,0,Deborah Kerr,The Sundowners
1972,Actress in a Leading Role,0,Diana Ross,Lady Sings the Blues
1974,Actress in a Leading Role,0,Diahann Carroll,Claudine
1982,Actress in a Leading Role,0,Debra Winger,An Officer and a Gentleman
1993,Actress in a Leading Role,0,Debra Winger,Shadowlands
1999,Actor in a Leading Role,0,Denzel Washington,The Hurricane
2011,Actor in a Leading Role,0,Demiíçn Bichir,A Better Life
2012,Actor in a Leading Role,0,Denzel Washington,Flight
2016,Actor in a Leading Role,0,Denzel Washington,Fences
2001,Actor in a Leading Role,1,Denzel Washington,Training Day
2016,Actor in a Supporting Role,0,Dev Patel,Lion
1980,Actress in a Supporting Role,0,Diana Scarwid,Inside Moves
1935,Actress in a Leading Role,0,Elisabeth Bergner,Escape Me Never
1939,Actress in a Supporting Role,0,Edna May Oliver,Drums along the Mohawk
1941,Actor in a Supporting Role,1,Donald Crisp,How Green Was My Valley
1956,Actor in a Supporting Role,0,Don Murray,Bus Stop
1957,Actress in a Supporting Role,0,Diane Varsi,Peyton Place
1963,Actress in a Supporting Role,0,Diane Cilento,Tom Jones
1974,Actress in a Supporting Role,0,Diane Ladd,Alice Doesn't Live Here Anymore
1977,Actress in a Leading Role,1,Diane Keaton,Annie Hall
2003,Actress in a Leading Role,0,Diane Keaton,Something's Gotta Give
2002,Actress in a Leading Role,0,Diane Lane,Unfaithful
1985,Actor in a Supporting Role,1,Don Ameche,Cocoon
1986,Actress in a Supporting Role,1,Dianne Wiest,Hannah and Her Sisters
1994,Actress in a Supporting Role,1,Dianne Wiest,Bullets over Broadway
2003,Actor in a Supporting Role,0,Djimon Hounsou,In America
2006,Actor in a Supporting Role,0,Djimon Hounsou,Blood Diamond
2004,Actor in a Leading Role,0,Don Cheadle,Hotel Rwanda
1947,Actor in a Supporting Role,1,Edmund Gwenn,Miracle on 34th Street
1947,Actress in a Leading Role,0,Dorothy McGuire,Gentleman's Agreement
1953,Actress in a Supporting Role,1,Donna Reed,From Here to Eternity
1954,Actress in a Leading Role,0,Dorothy Dandridge,Carmen Jones
1959,Actress in a Leading Role,0,Doris Day,Pillow Talk
1956,Actress in a Supporting Role,1,Dorothy Malone,Written on the Wind
1950,Actor in a Supporting Role,0,Edmund Gwenn,Mister 880
1953,Actor in a Supporting Role,0,Eddie Albert,Roman Holiday
1959,Actor in a Supporting Role,0,Ed Wynn,The Diary of Anne Frank
1962,Actor in a Supporting Role,1,Ed Begley,Sweet Bird of Youth
1967,Actor in a Leading Role,0,Dustin Hoffman,The Graduate
1981,Actor in a Leading Role,0,Dudley Moore,Arthur
1982,Actor in a Leading Role,0,Dustin Hoffman,Tootsie
1997,Actor in a Leading Role,0,Dustin Hoffman,Wag the Dog
1979,Actor in a Leading Role,1,Dustin Hoffman,Kramer vs. Kramer
1995,Actor in a Supporting Role,0,Ed Harris,Apollo 13
2002,Actor in a Supporting Role,0,Ed Harris,The Hours
1972,Actor in a Supporting Role,0,Eddie Albert,The Heartbreak Kid
1954,Actor in a Supporting Role,1,Edmond O'Brien,The Barefoot Contessa
2006,Actor in a Supporting Role,0,Eddie Murphy,Dreamgirls
2014,Actor in a Leading Role,1,Eddie Redmayne,The Theory of Everything
2015,Actor in a Leading Role,0,Eddie Redmayne,The Danish Girl
1964,Actor in a Supporting Role,0,Edmond O'Brien,Seven Days in May
1950,Actress in a Leading Role,0,Eleanor Parker,Caged
1956,Actress in a Supporting Role,0,Eileen Heckart,The Bad Seed
1980,Actress in a Supporting Role,0,Eileen Brennan,Private Benjamin
1988,Actor in a Leading Role,0,Edward James Olmos,Stand and Deliver
1996,Actor in a Supporting Role,0,Edward Norton,Primal Fear
2014,Actor in a Supporting Role,0,Edward Norton,Birdman or (The Unexpected Virtue of Ignorance)
1972,Actress in a Supporting Role,1,Eileen Heckart,Butterflies Are Free
1955,Actress in a Leading Role,0,Eleanor Parker,Interrupted Melody
1948,Actress in a Supporting Role,0,Ellen Corby,I Remember Mama
1957,Actress in a Leading Role,0,Elizabeth Taylor,Raintree County
1965,Actress in a Leading Role,0,Elizabeth Hartman,A Patch of Blue
1995,Actress in a Leading Role,0,Elisabeth Shue,Leaving Las Vegas
1966,Actress in a Leading Role,1,Elizabeth Taylor,Who's Afraid of Virginia Woolf?
1981,Actress in a Supporting Role,0,Elizabeth McGovern,Ragtime
1960,Actress in a Leading Role,1,Elizabeth Taylor,Butterfield 8
1971,Actress in a Supporting Role,0,Ellen Burstyn,The Last Picture Show
2000,Actress in a Leading Role,0,Ellen Burstyn,Requiem for a Dream
1949,Actress in a Supporting Role,0,Elsa Lanchester,Come to the Stable
1969,Actor in a Supporting Role,0,Elliott Gould,Bob & Carol & Ted & Alice
2007,Actress in a Leading Role,0,Ellen Page,Juno
1957,Actress in a Supporting Role,0,Elsa Lanchester,Witness for the Prosecution
1928,Actress in a Leading Role,1,Janet Gaynor,7th Heaven
1928,Actress in a Leading Role,0,Gloria Swanson,Sadie Thompson
1929,Actor in a Leading Role,0,George Bancroft,Thunderbolt
1930,Actor in a Leading Role,1,George Arliss,Disraeli
1931,Actor in a Leading Role,0,Fredric March,The Royal Family of Broadway
1934,Actor in a Leading Role,0,Frank Morgan,The Affairs of Cellini
1935,Actor in a Leading Role,0,Franchot Tone,Mutiny on the Bounty
1938,Actress in a Supporting Role,1,Fay Bainter,Jezebel
1944,Actress in a Supporting Role,1,Ethel Barrymore,None but the Lonely Heart
1950,Actor in a Supporting Role,0,Erich von Stroheim,Sunset Blvd.
1985,Actor in a Supporting Role,0,Eric Roberts,Runaway Train
1992,Actress in a Leading Role,1,Emma Thompson,Howards End
1996,Actress in a Leading Role,0,Emily Watson,Breaking the Waves
1998,Actress in a Leading Role,0,Emily Watson,Hilary and Jackie
2014,Actress in a Supporting Role,0,Emma Stone,Birdman or (The Unexpected Virtue of Ignorance)
2016,Actress in a Leading Role,0,Emma Stone,La La Land
1995,Actress in a Leading Role,0,Emma Thompson,Sense and Sensibility
2012,Actress in a Leading Role,0,Emmanuelle Riva,Amour
1955,Actor in a Leading Role,1,Ernest Borgnine,Marty
1967,Actress in a Supporting Role,1,Estelle Parsons,Bonnie and Clyde
1968,Actress in a Supporting Role,0,Estelle Parsons,"Rachel, Rachel"
2001,Actor in a Supporting Role,0,Ethan Hawke,Training Day
2014,Actor in a Supporting Role,0,Ethan Hawke,Boyhood
1949,Actress in a Supporting Role,0,Ethel Barrymore,Pinky
1949,Actress in a Supporting Role,0,Ethel Waters,Pinky
1954,Actress in a Supporting Role,1,Eva Marie Saint,On the Waterfront
1980,Actress in a Supporting Role,0,Eva Le Gallienne,Resurrection
1961,Actress in a Supporting Role,0,Fay Bainter,The Children's Hour
1984,Actor in a Leading Role,1,F. Murray Abraham,Amadeus
1938,Actress in a Leading Role,0,Fay Bainter,White Banners
1946,Actress in a Supporting Role,0,Flora Robson,Saratoga Trunk
1967,Actress in a Leading Role,0,Faye Dunaway,Bonnie and Clyde
1976,Actress in a Leading Role,1,Faye Dunaway,Network
1998,Actress in a Leading Role,0,Fernanda Montenegro,Central Station
2005,Actress in a Leading Role,0,Felicity Huffman,Transamerica
2014,Actress in a Leading Role,0,Felicity Jones,The Theory of Everything
1988,Actress in a Supporting Role,0,Frances McDormand,Mississippi Burning
2006,Actor in a Leading Role,1,Forest Whitaker,The Last King of Scotland
2005,Actress in a Supporting Role,0,Frances McDormand,North Country
1942,Actor in a Supporting Role,0,Frank Morgan,Tortilla Flat
1965,Actor in a Supporting Role,0,Frank Finlay,Othello
2008,Actor in a Leading Role,0,Frank Langella,Frost/Nixon
1937,Actor in a Leading Role,0,Fredric March,A Star Is Born
1953,Actor in a Supporting Role,1,Frank Sinatra,From Here to Eternity
1955,Actor in a Leading Role,0,Frank Sinatra,The Man with the Golden Arm
1974,Actor in a Supporting Role,0,Fred Astaire,The Towering Inferno
1979,Actor in a Supporting Role,0,Frederic Forrest,The Rose
1951,Actor in a Leading Role,0,Fredric March,Death of a Salesman
1932,Actor in a Leading Role,1,Fredric March,Dr. Jekyll and Mr. Hyde
1936,Actress in a Supporting Role,1,Gale Sondergaard,Anthony Adverse
2009,Actress in a Leading Role,0,Gabourey Sidibe,Precious: Based on the Novel 'Push' by Sapphire
1946,Actress in a Supporting Role,0,Gale Sondergaard,Anna and the King of Siam
1952,Actor in a Leading Role,1,Gary Cooper,High Noon
1978,Actor in a Leading Role,0,Gary Busey,The Buddy Holly Story
1967,Actor in a Supporting Role,0,Gene Hackman,Bonnie and Clyde
1974,Actress in a Leading Role,0,Gena Rowlands,A Woman under the Influence
1988,Actress in a Supporting Role,1,Geena Davis,The Accidental Tourist
1994,Actor in a Supporting Role,0,Gary Sinise,Forrest Gump
2011,Actor in a Leading Role,0,Gary Oldman,Tinker Tailor Soldier Spy
1991,Actress in a Leading Role,0,Geena Davis,Thelma & Louise
1980,Actress in a Leading Role,0,Gena Rowlands,Gloria
1988,Actor in a Leading Role,0,Gene Hackman,Mississippi Burning
1992,Actor in a Supporting Role,1,Gene Hackman,Unforgiven
1971,Actor in a Leading Role,1,Gene Hackman,The French Connection
1996,Actor in a Leading Role,1,Geoffrey Rush,Shine
2010,Actor in a Supporting Role,0,Geoffrey Rush,The King's Speech
1930,Actor in a Leading Role,0,George Arliss,The Green Goddess
1930,Actress in a Leading Role,0,Gloria Swanson,The Trespasser
1936,Actress in a Leading Role,0,Gladys George,Valiant Is the Word for Carrie
1939,Actress in a Supporting Role,0,Geraldine Fitzgerald,Wuthering Heights
1950,Actor in a Supporting Role,1,George Sanders,All about Eve
1959,Actor in a Supporting Role,0,George C. Scott,Anatomy of a Murder
1975,Actor in a Supporting Role,1,George Burns,The Sunshine Boys
1971,Actor in a Leading Role,0,George C. Scott,The Hospital
2005,Actor in a Supporting Role,1,George Clooney,Syriana
2011,Actor in a Leading Role,0,George Clooney,The Descendants
1966,Actor in a Supporting Role,0,George Segal,Who's Afraid of Virginia Woolf?
1940,Actress in a Leading Role,1,Ginger Rogers,Kitty Foyle
1951,Actor in a Supporting Role,0,Gig Young,Come Fill the Cup
1953,Actress in a Supporting Role,0,Geraldine Page,Hondo
1985,Actress in a Leading Role,1,Geraldine Page,The Trip to Bountiful
1990,Actor in a Leading Role,0,Gerard Depardieu,Cyrano de Bergerac
